source,exchange,date,symbol,open,high,low,close,volume,timeframe,ingestion_ts
tradingview,BINANCE,2024-12-01 01:00:00,ADAUSD,1.079,1.164,1.038,1.151,18940642.19999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-02 01:00:00,ADAUSD,1.151,1.243,1.057,1.202,65520097.59999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-03 01:00:00,ADAUSD,1.203,1.327,1.142,1.194,64293080.59999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-04 01:00:00,ADAUSD,1.194,1.242,1.141,1.188,25299983.90000005,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-05 01:00:00,ADAUSD,1.189,1.245,1.118,1.161,30231759.90000002,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-06 01:00:00,ADAUSD,1.16,1.239,1.136,1.229,19511466.0,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-07 01:00:00,ADAUSD,1.231,1.238,1.189,1.212,8857773.99999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-08 01:00:00,ADAUSD,1.211,1.225,1.173,1.195,9644351.39999998,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-09 01:00:00,ADAUSD,1.195,1.195,0.915,1.005,28147599.80000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-10 01:00:00,ADAUSD,1.004,1.038,0.911,1.023,21644263.79999993,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-11 01:00:00,ADAUSD,1.023,1.115,0.973,1.088,13205843.50000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-12 01:00:00,ADAUSD,1.087,1.182,1.074,1.123,11540742.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-13 01:00:00,ADAUSD,1.123,1.131,1.077,1.121,6699140.69999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-14 01:00:00,ADAUSD,1.121,1.132,1.043,1.06,5411198.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-15 01:00:00,ADAUSD,1.06,1.111,1.039,1.098,5854681.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-16 01:00:00,ADAUSD,1.101,1.12,1.047,1.077,7193575.40000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-17 01:00:00,ADAUSD,1.078,1.111,1.043,1.052,7481823.09999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-18 01:00:00,ADAUSD,1.053,1.059,0.961,0.968,10688781.70000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-19 01:00:00,ADAUSD,0.969,0.989,0.848,0.881,17227772.89999999,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-20 01:00:00,ADAUSD,0.882,0.959,0.762,0.95,18945915.20000006,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-21 01:00:00,ADAUSD,0.948,0.997,0.886,0.904,10028566.80000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-22 01:00:00,ADAUSD,0.905,0.924,0.859,0.883,10756677.80000001,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-23 01:00:00,ADAUSD,0.882,0.942,0.862,0.926,6174702.3,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-24 01:00:00,ADAUSD,0.925,0.949,0.891,0.936,5380966.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-25 01:00:00,ADAUSD,0.935,0.94,0.899,0.916,2780945.4,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-26 01:00:00,ADAUSD,0.917,0.927,0.851,0.861,3865560.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-27 01:00:00,ADAUSD,0.861,0.913,0.854,0.876,3920801.9,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-28 01:00:00,ADAUSD,0.877,0.899,0.866,0.889,2736637.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-29 01:00:00,ADAUSD,0.889,0.911,0.85,0.859,2985100.6,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-30 01:00:00,ADAUSD,0.857,0.902,0.83,0.861,5270474.7,1d,2026-01-21T19:17:26.607396
tradingview,BINANCE,2024-12-31 01:00:00,ADAUSD,0.86,0.878,0.84,0.844,3553037.39999999,1d,2026-01-21T19:17:26.607396
